Guid	Word	Reading	ContextHint
"Q#5.J->(Xc"	置き去り	おきざり	その場に残したまま立ちさる
wR)eZAZX4	玉座	ぎょくざ	王様がすわるための特別ないす
FA0$AkaHZ!	日曜日	にちようび	週の最後のやすみのひ
ICRFXoicxs	威嚇	いかく	怖がらせて従わせようとする
xqy`8.|BF{	追及	ついきゅう	真相や責任を問い詰めること
Cir7`;&mZF	空腹	くうふく	何も食べていない状態
k$5e,&EU[0	交互	こうご	順番にこうごに行う様子
fA&]/u~DM2	あの娘	あのこ	あの女の子を指す親しみの言葉
k:7E2^(BBq	お辞儀	おじぎ	腰を曲げてする挨拶の動作
x4rv&SJaNl	不味い	まずい	あじが良くなくて食べにくい
K3/+q-Kq|X	誠実	せいじつ	偽りがなく真面目な様子
ch$`Wahmww	帝	みかど	国を治める最高権力者
eI7vcLY{FM	習慣	しゅうかん	繰り返して身についた行動
d?i*i6-^w9	側近	そっきん	権力者のすぐそばで仕える人
OW;9TXyj!h	継続	けいぞく	中断せずに同じ状態を保つこと
k!6jpDfBZd	統一	とういつ	複数のものをひとつにまとめること
lMa3]=JD5a	火傷	やけど	熱いものに触れて皮膚が痛む
c8v4TpfNt@	文化祭	ぶんかさい	学校で行われる展示や催し
"xm^P$#D.Kt"	侮辱	ぶじょく	相手の尊厳を傷つける言動
AaOYbKj4y2	斬撃	ざんげき	刃物で相手を切りつける攻げき
m_u_?I=Vvg	自嘲	じちょう	じぶんを低く見て笑いにすること
g~ncR~jUi[	滝	たき	高い所から落ちる大量の水
"fqb@?mF#IH"	謁見	えっけん	身分の高い人に公式に会うこと
i=f9UBCTE7	日付	ひづけ	何月なんにちかを示す数字
k)qp&m`c/4	細工	さいく	こまかい部分に凝った手作業
J;3XRZjN{>	護る	まもる	危険から守って安全を保つ
J{NwM>lgs=	昨晩	さくばん	きのうのよるのことです
L:|DZ.4;95	手際	てぎわ	物事をうまく処理する能力
e5e0Z0)oh+	惨め	みじめ	見るに耐えない哀れな様子
wO/=b!Al6+	痩せる	やせる	体重や肉が減って細くなる
P)A.kcfX].	宗教	しゅうきょう	神や仏のおしえを信じる活動
z!:S!+~?1l	脇腹	わきばら	からだの横の部分のこと
gt/y4XAi[4	付与	ふよ	権利や資格をあたえること
M%k]{`r~)2	兼	けん	二つの役割を同時に持つこと
oiwH.;eN?^	受験	じゅけん	学校や資格のしけんをうけること
G$9GA;c>5S	致命傷	ちめいしょう	死に至るほどの深いケガ
"QwHS^rL*#,"	貢献	こうけん	組織のために力を尽くすこと
C@X3dME9/[	電波	でんぱ	空中を伝わる信号の流れ
JZv`V&<GHt	列車	れっしゃ	駅と駅の間を走る乗り物
"I8&5m#BiSf"	免れる	まぬがれる	危険や責任からうまく逃れる
L=HGwstkx3	地震	じしん	じめんが揺れる自然現象
j%Y?)97<mS	成し遂げる	なしとげる	目標を最後までやり切る
l~zTfXg+I%	濁る	にごる	水や音が清らかでなくなる
s[dpyT,(f|	隣国	りんごく	となり合っているよそのくに
Fx%X7YxJs^	恐い	こわい	怖くて安心できない様子
uhnn`,u$!~	申請	しんせい	役所などに書類で願い出ること
"f#)Ap]~g@`"	罵る	ののしる	悪い言葉で相手を責める
"l#MpVi{1Ff"	亀裂	きれつ	物の表面に入った細い割れ目
k+;oALk/T<	誤る	あやまる	判断や行動を間違えること
d]@JvBDv8i	守護	しゅご	悪いものからまもること
lBraUJS),G	欲求	よっきゅう	我慢できないほどの強い願い
d:aS7+RK?!	虚ろ	うつろ	中身がなくからっぽな様子
OYkAnv:qXI	籠	かご	ものを入れるための編んだ道具
pRk12^hE+X	叔父	おじ	両親の兄弟やその配偶者
qX5[{^GJrs	度胸	どきょう	恐れずに行動できる心の強さ
iXsw}hbpuO	孤児院	こじいん	親のいない子が暮らす施設
h3ubXDkzTr	見計らう	みはからう	良い機会を狙って行動する
yAAFaRHZNA	至近距離	しきんきょり	非常にちかい間隔のこと
yJj>h2~I=H	羞恥	しゅうち	はずかしくてたまらない気持ち
FkPH}Xj`/T	虚しい	むなしい	努力が報われず無駄な様子
xP}!woo=vV	婚姻	こんいん	法律上の夫婦になること
NrgU6-?;[F	有無	うむ	あるかないかを問う時の言葉
E}>Q&irAvB	柵	さく	境界や進入を防ぐための囲い
"x_#h2hVFx]"	濃厚	のうこう	味や色合いが強く深い様子
fC.MRq*i*]	粒	つぶ	小さく丸い形状のもの
"oj%3_#Vy/G"	余韻	よいん	出来事の後も残る情感
v_%7&ds_;x	償う	つぐなう	過ちに対して埋め合わせをする
l-i>3dDZ}q	顔を背ける	かおをそむける	嫌なものを見ないようにそらす
cxw(S`8(v9	平等	びょうどう	すべての人を差別なく扱うこと
BC)v(Bk7f{	集落	しゅうらく	人があつまって住む小さな地域
^hL4Ix%=w	表向き	おもてむき	建前や公式の立場のこと
HLJU)6r18[	納める	おさめる	お金や物を正しい所に収める
iaC<KK~A&B	艶やか	あでやか	華やかで人を惹きつける様子
7d7$@2Dla	占い	うらない	運勢や未来を予測すること
ey~(eDxHYn	一冊	いっさつ	本を数えるときの単位
M7E`]c;0zT	打撃	だげき	強い力で相手を痛めつけること
sh!g$wl~ph	読書	どくしょ	本をよんで知識を得る活動
oex?Pqz^Dm	飢える	うえる	食べ物がなくて苦しむ
G:8*`t;L:@	沸く	わく	液体が熱くなって泡立つ
"EG-0F{#[4j"	同い年	おないどし	ねんれいがおなじであること
C^hO:X.h}{	長引く	ながびく	予定より時間がかかる
"z@>#tHCZ2-"	途絶える	とだえる	続いていたものがとちゅうで切れる
fuho[-}|Lk	艦	かん	軍用の大きな船のこと
j3a<3(wG<Q	その度	そのたび	何かが起こるたびごとに
yq6EEX<Bdd	各国	かっこく	それぞれのくにのあいだのこと
O@urV4DU%F	小走り	こばしり	急ぎ足でちいさくはしる様子
i6^6vLYf=D	承諾	しょうだく	申し出を受け入れること
QbfNfL$vG}	妥当	だとう	判断が適切で無理のない様子
pGq@5.T9D~	嫌悪	けんお	強くきらう気持ちのこと
b$YuQZP[Sp	城壁	じょうへき	おしろを囲む高いかべ
JX+}eU8fmy	怠る	おこたる	すべきことをやらない
OjiM%f)|pi	報う	むくう	行いに対して見返りが来る
J2hm^$Scc0	宮	みや	神様がまつられている建物
JWK|5mJeKo	必須	ひっす	かならずひつようで欠かせないこと
"v#98T7kp|b"	奉仕	ほうし	報酬を求めずに尽くす活動
o1d)!2l=%=	諭す	さとす	間違いを優しく教え導く
vZORSf&%j8	残骸	ざんがい	壊れた後にのこったもの
gILPvW6vZV	推薦	すいせん	人や作品を良いと伝えること
A7T<=cpjt}	彩る	いろどる	色を加えて美しく飾る
lm@nJ.YsDM	反則	はんそく	競技やきそくにいはんする行為
Q=aH(6qmhx	堅い	かたい	固くて変形しない様子
"K&I3#Mz<jP"	乳	ちち	母親から出る白い液体
i,OA!QPpgn	補う	おぎなう	足りない分を追加して満たす
n5@-&%K!G&	速やか	すみやか	素早く滞りなく行う様子
G[T`YDi02W	村長	そんちょう	むらの代表者の役職名
"sUSuc8/#q_"	幾つか	いくつか	はっきり決まらない数の表現
J*cvhQiY:o	奏でる	かなでる	音楽をかなでて美しい音を出す
Q[?P3K6n3:	召し上がる	めしあがる	目うえの人が食べる尊敬語
y~f>MZ4]bS	会釈	えしゃく	軽く頭を下げてする挨拶
p(wXT*k;Mm	独占	どくせん	一人や一社だけでしめること
i2x6VM{Ev2	人殺し	ひとごろし	ひとをころす行為やそのはんにん
vXZ+BPm%2,	火事	かじ	建物が燃える災害のこと
M{VW|t`tJQ	翻弄	ほんろう	相手を思い通りに振り回す
KNjfzx7b`d	衣	ころも	僧侶が着るいふくのこと
AzuYYrgXk.	挿入	そうにゅう	物の間に別のものを差し込む
h2GbIbDv%[	各々	おのおの	それぞれの人が別々に
G*NHq.1fvD	あり得る	ありうる	そうなる可能性があること
rc}Thcwq;=	砲	ほう	大きな弾を撃ち出す武器
QqHCEr`?$1	羊	ひつじ	毛を刈るために飼われる動物
b]1||1%|Ci	有る	ある	物事が実在する様子だ
st>+TR6S.0	夫妻	ふさい	結婚した二人の人のこと
cG?NcQ$ZP&	鬱陶しい	うっとうしい	天気や気分が晴れない様子
t?UXsZCts~	経由	けいゆ	ある場所を通って行くこと
xc!%WyN47.	問答無用	もんどうむよう	言い訳を許さず強制すること
gfS4.tPuY;	匹敵	ひってき	相手と同等の力があること
FLT)-e?T5-	作家	さっか	小説などを書く職業の人
BrfO3LMW[g	費やす	ついやす	時間やお金をあることに使う
fgsGQ8ATWi	徹夜	てつや	よる通し寝ずに何かをすること
D_jrdA_OC3	坊主	ぼうず	出家して頭を丸めた男性
I4eY[+{r+f	第１	だいいち	順番の最初にあたること
lb`2//lPb}	占める	しめる	ある範囲や地位を有すること
iBf/{T8F-J	授ける	さずける	知識や技や権利を与える
y^G;D_V7<+	楽器	がっき	おんがくを演奏するための道具
onI?|`g~Hg	肺	はい	呼吸をするための臓器
c@vCW(z/Qf	四方	しほう	東西南北のすべてのほうがく
hRjEX**Hr$	鹿	しか	角のある草食の野生動物
"z4?I#@-fLX"	一滴	いってき	ごくわずかな液体の量
cSX,Mi:1Q<	臨む	のぞむ	会議や行事に出席する
dH9)<K;,J	抜群	ばつぐん	他より飛びぬけて優れている
tkr4vR)Ox~	居心地	いごこち	その場所にいる時の気分の良さ
K5VltM]+n.	浸かる	つかる	湯船や液体の中に入る
u/4:afR/kE	己が	おのが	自分自身という意味の言葉
P&[K{UU5v1	貧乏	びんぼう	お金がなくて暮らしが苦しい
JicxIxM>[Y	欠点	けってん	不十分で良くない部分
Q:7jzIdz(n	就職	しゅうしょく	仕事について会社で働くこと
ee%aTGRj0z	身勝手	みがって	自分の都合だけを考える様子
EF)]|*x!5d	快い	こころよい	気分が良くて心地良い様子
w</c4(To{_	境	さかい	二つの地域の区切りの場所
G%:;z@O(oL	急かす	せかす	早くするように促すこと
Bya5_1}J5|	脈	みゃく	心臓の拍動を感じるもの
FCZ.[S2wsO	法律	ほうりつ	国が定めた守るべき規則
k<oj/T6IxD	本名	ほんみょう	偽りのないほんとうのなまえ
jI%nL6mGB|	長男	ちょうなん	一番最初に生まれたおとこの子
KeRj^nG1UN	食卓	しょくたく	ご飯をたべるための台
jLCv($k`gn	淑女	しゅくじょ	品があって上品なじょせい
l[,i/yWyaC	火花	ひばな	ぶつかった時に出る光の粒
O~*chj4h6J	園	その	花や木を植えた広い場所
JpeaVZij1K	手応え	てごたえ	行動の結果として感じるはんのう
FQzVyO]EPx	に沿って	にそって	線や流れに従って進む様子
f=dzQ;/[by	悔やむ	くやむ	後で残念に思う気持ち
l&QbH},.9B	捻る	ひねる	手で回すように曲げる
jIT)_=h:zm	突っ伏す	つっぷす	うつむいて机に体を預ける
c7x=ag2}L}	没頭	ぼっとう	一つのことに夢中になること
tf]tnh:izK	口実	こうじつ	断るためのもっともらしい理由
PGa;Yii3S1	手の平	てのひら	人のての内側のたいらな部分
QfJDtKbRAJ	全裸	ぜんら	服を何も着ていない状態
dsgq<|:HJp	版	はん	しゅっぱんぶつのかずを表す単位
o:fM|e4XZU	芽生える	めばえる	種から新しいめが出る
oI:ctBbR`>	拍子	ひょうし	音楽のリズムの単位のこと
r<AHk2fe$e	滑稽	こっけい	笑わせるような面白い様子
nu3$M*]aE:	絵画	かいが	キャンバスに描かれた作品
r6W*PaAdv6	祖母	そぼ	両親のおかあさんのこと
v(RW2M/}wG	律儀	りちぎ	義理を大切にする誠実な様子
C?BRb*cT`%	真摯	しんし	まじめで誠実な態度のこと
lkVVU^Nqrc	口の端	くちのは	くちびるのはしの部分
js=S+XNik2	虚空	こくう	何もないくうかんのこと
c_Jm9.U(m:	一際	ひときわ	他よりいちだんと目立つ様子
b[tXspb=g0	募集	ぼしゅう	参加者を広く呼びあつめること
D,*8p=vnPM	夕暮れ	ゆうぐれ	日が沈んで暗くなり始める頃
LL<b]lO@gx	派閥	はばつ	組織内のグループのこと
PeH3;AxYI6	群がる	むらがる	多くのものが一か所に集まる
NB-W1`fk@v	賢者	けんじゃ	知識が深くかしこい人のこと
wSmCaVWgTo	指し示す	さししめす	はっきりと方向や対象をしめす
f4dp$;^zLM	貫通	かんつう	一方から他方まで突き抜ける
HV_w$3HOG*	休暇	きゅうか	仕事や学校がやすみの期間
vsG,|&gce$	創造	そうぞう	新しいものを生み出すこと
uLoXB{&yc3	遮断	しゃだん	流れや通路をさえぎること
vCG3sn5l3)	頑な	かたくな	自分の意見を変えない様子
DWqZ5G%Zi)	暁	あかつき	夜が明ける早朝の時間
fg:}EIuaoQ	引き換え	ひきかえ	一方を差し出して他方を受け取る
L?3WPXNI4C	植える	うえる	土に種や苗を入れて育てる
iK7-B-E[H@	剣を抜く	つるぎをぬく	刀をさやから引き出す
fJI%EY3>dI	窮屈	きゅうくつ	狭くて動きにくい様子
yr70`SYjql	灯る	ともる	火や明かりが点く様子
ksSI8R/Wb&	沼	ぬま	浅い水と泥のある場所
jhH1RQC0YU	尊い	とうとい	値打ちがあり敬うべき様子
irp,&!u!L]	革	かわ	動物の皮を加工した素材
cCdPX%Cy8y	心細い	こころぼそい	頼りがなく不安な気持ち
"x0&,#$JlAU"	勧誘	かんゆう	人をさそって参加させようとする
Ra+j4G0!5t	旗	はた	棒の先に付けた布の印
"@;#7kfPQ>"	幹	みき	木の中心の太い部分のこと
Imi@+=@tR.	勝る	まさる	他より優れている様子
f7yM<AaIi:	豆	まめ	小さくて丸い食用の種
"k%=h:{LsS#"	葛藤	かっとう	心の中で二つの思いがぶつかること
"hK!ge#yl&R"	融合	ゆうごう	別のものが一つにまとまること
EM;?zlEPvm	純白	じゅんぱく	混じりけのないまっしろな様子
t>kUzcGQj0	茂み	しげみ	草木が密集している場所
nYM7w5UpHO	一昨日	おととい	きょうのふつかまえのひづけ
x-*B0cLcZ`	紅い	あかい	血のような色合いをしている
fkcl*tQxM[	貪る	むさぼる	欲しいものを夢中で求める
v(TN6W]KAt	輪郭	りんかく	物の外側の形を描く線
l7J4w+yGWq	か月	かげつ	つきの数を数える単位
Pi8jMZhS]o	迷子	まいご	道がわからなくなったこども
wNTu4PaD6k	恩恵	おんけい	受ける利益やありがたみ
GI&mz([R$&	憂鬱	ゆううつ	気分が沈んで何もしたくない
H`0/CK{FAq	治める	おさめる	国や地域を秩序立てて管理する
iEX55t7vH0	軽蔑	けいべつ	相手を見下してバカにする
QV2@]f/4te	為す	なす	行動を起こしてやり遂げる
y2i]jLe~8/	邸	てい	裕福な人の大きな家のこと
nZbP[[>$qn	表紙	ひょうし	本の一番外側の部分です
Q!W<JYkK&(	敗れる	やぶれる	戦いや競争にまけること
u^AA>}s`]w	屈する	くっする	圧力に負けて折れること
m?(;3+Ed2-	神父	しんぷ	教会で信仰の指導をする人
sAkR@G7=t+	目を凝らす	めをこらす	じっと集中して見つめる
r96jPv`;g&	事項	じこう	書類の中の個別のこうもく
w/!0^)[:_-	率直	そっちょく	隠し事なくしょうじきに話す様子
Lcb&V.rGVQ	口説く	くどく	愛情を伝えて付き合おうとする
Eg~Cj-UiOh	首都	しゅと	国の中心となるだいとかい
l18Eg?Q<R0	健気	けなげ	弱いながらも一生懸命な様子
zVBWG`rXFJ	志	こころざし	人生の目標や目指すもの
NG^B2i>@%A	網	あみ	魚を捕るための編み具
t&!g81[>p<	名残惜しい	なごりおしい	別れるのが寂しくてたまらない
"nm9=-#>HhA"	滴る	したたる	液体がぽたぽた落ちる
mLL(Cd5_yz	興味津々	きょうみしんしん	非常にきょうみを持っている様子
wa&|Gg!}0P	噴水	ふんすい	地面からみずが吹き上がる装置
m%9SyDb~Cn	一変	いっぺん	今までの状態がかわること
sb)+fu|:Wo	惑星	わくせい	太陽の周りを回る天体
glN2^@$b!q	裁判	さいばん	法律に基づいてはんだんを下すこと
gb)3.K0^ge	火照る	ほてる	顔や体が熱く赤くなる
t1LIG[mtcp	補佐	ほさ	上の立場の人を助ける仕事
gyC_Qcyw4r	粉砕	ふんさい	固い物を力で細かく壊す
tdLpl}jY6@	降伏	こうふく	戦いに負けて相手に従うこと
er:Lyprj|d	戦慄	せんりつ	恐怖で体が震えること
r(SIhV]zJo	罵倒	ばとう	悪口を言って相手を責める
"t6wCol3+(#"	拝む	おがむ	神や仏に手を合わせて祈る
AL%O|mEL`.	堪る	たまる	辛い状態に耐えられる
n<}OD-jaZB	体型	たいけい	人のからだのぜんていてきな形
"M!B4-avBe#"	過ち	あやまち	正しくない行いや判断
znA9l6C1K4	崎	さき	海に突き出た陸地の先
"ktMAqVIMU#"	先祖	せんぞ	家系の昔の世代の人々
geXO%I+FsF	芸術	げいじゅつ	美しさや感動を表現する活動
P3:-XU=S2A	至極	しごく	これ以上ないほど非常に
et~U7yk$gG	失せる	うせる	いつの間にか消えてなくなる
yL>|wb,sw@	秩序	ちつじょ	物事が整然と並んだ状態
y//3sfV`w7	玩具	おもちゃ	遊びのために使うもの
o?k-$*>s;T	実践	じっせん	学んだことをじっさいに行うこと
I@7AzD~4]+	缶	かん	飲み物を入れる金属の容器
jM70e&cXAY	封鎖	ふうさ	出入りを禁じて閉ざすこと
tyWGH-w/@e	子息	しそく	他人のむすこを丁寧に呼ぶ言葉
g`bSib?JI>	平均	へいきん	数値を足して個数で割った値
c06}P&:M<F	血管	けっかん	体中にけつえきを運ぶ細いくだ
"d-|UU]oc#w"	声色	こわいろ	話すときのこえの調子
skJG6lZ<Qh	祭壇	さいだん	神に祈るための特別な台
ftQ>x>w9!j	香水	こうすい	良い匂いをつけるための液体
i:BRvKaX.T	憶える	おぼえる	見聞きしたことを忘れない
"si6IWX8#*H"	奥歯	おくば	口の一番おくにあるは
G.c8<<@?4>	図星	ずぼし	核心を突いた指摘のこと
wXIIO{86O1	詐欺	さぎ	人を騙して金品を奪う犯罪
mKXSel0E_T	駆使	くし	持っている力を全てつかうこと
zHEmJ_YRdG	尾行	びこう	後をつけてこっそり追跡する
MXSKVTuT](	難い	にくい	簡単にはできない様子
